sample_id,graph_id,target_node,target_role,target_index,context_index,context_id,core_type,core_id,dvfs_level,frequency_ghz,voltage_v,local_target_node_index,y_exec_us_raw,y_exec_us,Q50_pred_us,Q90_pred_us,Q95_pred_us,Q99_pred_us,criticality,deadline_us,period_us,split,Qhat_base_us,q_conf_us,C_e_us,raw_covered,calibrated_covered,inflation_us
test_ood_test_ood_000004_00,test_ood_000004,1,source_like,0,0,test_ood_000004_t0_c0,big,big_1,2,1.8,1.06,0,26687.049,26687.048828125,29839.75,42276.25,46139.953125,54905.0625,HI,25800463,30212592,test_ood,46139.953125,15665.78125,61805.734375,True,True,15665.78125
test_ood_test_ood_000004_01,test_ood_000004,1,source_like,0,1,test_ood_000004_t0_c1,little,little_0,2,1.2,0.93,0,61950.21,61950.2109375,67752.140625,81901.296875,85931.890625,95737.734375,HI,25800463,30212592,test_ood,85931.890625,15665.78125,101597.671875,True,True,15665.78125
test_ood_test_ood_000004_02,test_ood_000004,1,source_like,0,2,test_ood_000004_t0_c2,big,big_0,3,2.2,1.15,0,19565.234,19565.234375,27948.421875,40279.9375,44099.515625,52738.234375,HI,25800463,30212592,test_ood,44099.515625,15665.78125,59765.296875,True,True,15665.78125
test_ood_test_ood_000004_03,test_ood_000004,1,source_like,0,3,test_ood_000004_t0_c3,little,little_0,3,1.5,1.0,0,45575.445,45575.4453125,45829.859375,58695.140625,62497.921875,71457.640625,HI,25800463,30212592,test_ood,62497.921875,15665.78125,78163.703125,True,True,15665.78125
test_ood_test_ood_000004_04,test_ood_000004,1,source_like,0,4,test_ood_000004_t0_c4,big,big_1,0,1.0,0.9,0,44861.223,44861.22265625,52946.359375,66305.59375,70245.65625,79607.8125,HI,25800463,30212592,test_ood,70245.65625,15665.78125,85911.4375,True,True,15665.78125
test_ood_test_ood_000004_05,test_ood_000004,1,source_like,0,5,test_ood_000004_t0_c5,little,little_0,0,0.6,0.8,0,117228.625,117228.625,119336.171875,135446.265625,140164.71875,151636.46875,HI,25800463,30212592,test_ood,140164.71875,15665.78125,155830.5,True,True,15665.78125
test_ood_test_ood_000004_06,test_ood_000004,1,source_like,0,6,test_ood_000004_t0_c6,big,big_0,1,1.4,0.98,0,34019.83,34019.828125,38319.71875,51030.828125,54923.96875,63920.015625,HI,25800463,30212592,test_ood,54923.96875,15665.78125,70589.75,True,True,15665.78125
test_ood_test_ood_000004_07,test_ood_000004,5,sink_like,1,0,test_ood_000004_t1_c0,little,little_1,2,1.2,0.93,4,218291.73,218291.734375,212040.96875,232062.59375,237956.5625,251452.59375,HI,25800463,30212592,test_ood,237956.5625,15665.78125,253622.34375,True,True,15665.78125
test_ood_test_ood_000004_08,test_ood_000004,5,sink_like,1,1,test_ood_000004_t1_c1,big,big_1,3,2.2,1.15,4,145508.94,145508.9375,136356.71875,152321.234375,156840.65625,167834.359375,HI,25800463,30212592,test_ood,156840.65625,15665.78125,172506.4375,True,True,15665.78125
test_ood_test_ood_000004_09,test_ood_000004,5,sink_like,1,2,test_ood_000004_t1_c2,little,little_1,3,1.5,1.0,4,221985.64,221985.640625,215692.21875,235986.5,241975.984375,255646.265625,HI,25800463,30212592,test_ood,241975.984375,15665.78125,257641.765625,True,True,15665.78125
test_ood_test_ood_000004_10,test_ood_000004,5,sink_like,1,3,test_ood_000004_t1_c3,big,big_1,0,1.0,0.9,4,313510.56,313510.5625,294464.75,319960.5625,327248.84375,343597.4375,HI,25800463,30212592,test_ood,327248.84375,15665.78125,342914.625,True,True,15665.78125
test_ood_test_ood_000004_11,test_ood_000004,5,sink_like,1,4,test_ood_000004_t1_c4,little,little_0,0,0.6,0.8,4,451130.0,451130.0,426129.6875,461099.1875,470916.5625,491594.8125,HI,25800463,30212592,test_ood,470916.5625,15665.78125,486582.34375,True,True,15665.78125
test_ood_test_ood_000004_12,test_ood_000004,5,sink_like,1,5,test_ood_000004_t1_c5,big,big_0,1,1.4,0.98,4,216086.22,216086.21875,203369.0,222996.34375,228822.390625,242166.0,HI,25800463,30212592,test_ood,228822.390625,15665.78125,244488.171875,True,True,15665.78125
test_ood_test_ood_000004_13,test_ood_000004,5,sink_like,1,6,test_ood_000004_t1_c6,little,little_1,1,0.9,0.86,4,365759.9,365759.90625,350089.75,379884.5625,388307.9375,406834.53125,HI,25800463,30212592,test_ood,388307.9375,15665.78125,403973.71875,True,True,15665.78125
test_ood_test_ood_000004_14,test_ood_000004,437,middle,2,0,test_ood_000004_t2_c0,big,big_1,3,2.2,1.15,436,152787.11,152787.109375,162618.671875,179938.375,184999.1875,196932.375,HI,25800463,30212592,test_ood,184999.1875,15665.78125,200664.96875,True,True,15665.78125
test_ood_test_ood_000004_15,test_ood_000004,437,middle,2,1,test_ood_000004_t2_c1,little,little_0,3,1.5,1.0,436,232593.52,232593.515625,235478.15625,256957.578125,263246.21875,277523.4375,HI,25800463,30212592,test_ood,263246.21875,15665.78125,278912.0,True,True,15665.78125
